Country	Region	Area_km2	Population	GDP_dollar	GDP_per_capita	Capital	Latitude	Longitude	Latitude_deg	Longitude_deg	Sanitation_total	Sanitation_urban	Sanitation_rural	Drinking_total	Drinking_urban	Drinking_rural	Life_Expectancy_Male	Life_Expectancy_Female	School_Total	School_Male	School_Female	Housing_total	Housing_urban	Housing_rural	Unemployment_both	Unemployment_male	Unemployment_female	Marriage_male	Marriage_female	Contraceptives	Fertility	Youth_fertility	HIV_AIDS	HIV_rate_women	Illiteracy_male	Illiteracy_female	Employees_male	Employees_female	Employers_male	Employers_female	Own_account_male	Own_account_female	Family_worker_male	Family_worker_female	Density
Ireland	EU	70280	4015676	1.26E+11	31900	Dublin	53.3333	-6.25	N 53 deg 20	W 6 deg 15							75.1	80.3	17	16	17				4.4	4.8	3.9	32	31		1.9	15	3	31			75	92	8	2	16	4	1	1	57.1
Israel	ME	20770	6276883	1.29E+11	20800	Jerusalem	31.7833	35.2333	N 31 deg 47	E 35 deg 14							77.5	81.6	16	15	16	1.2			10.7	10.2	11.3	28	25	68	2.9	16	3				82	91	7	2	9	5	0	1	302.2
Italy	EU	301230	58103033	1.61E+12	27700	Rom	41.9	12.4833	N 41 deg 54	E 12 deg 29							76.8	83	15	15	16				8.7	6.7	11.6	32	28	60	1.3	7	140	32			69	79	15	8	12	7	3	6	192.9
Jamaica	CA	10991	2735520	11130000000	4100	Kingston	18	-76.8	N 18 deg 00	W 76 deg 48	99	99	99	92	98	85	68.9	72.5	12	11	12				15.8	10.3	22.3	35	33	66	2.4	82	22	48	8.7	2.2	58	69	3	1	38	27	1	2	248.9
Japan	AS	377835	127417244	3.75E+12	29400	Tokyo	35.6667	139.75	N 35 deg 40	E 139 deg 45							78.3	85.3	15	15	14	0.8	0.8	0.7	5.3	5.5	4.9	31	29	59	1.3	4	12	24			85	84	4	1	10	5	2	9	337.2
Jordan	ME	92300	5759732	25500000000	4500	Amman	31.95	35.9333	N 31 deg 57	E 35 deg 56	99	100	98	96	100	84	69.8	72.8	13	13	13				13.2	11.8	20.7		25	56	3.5	27	1		0.7	1.1									62.4
Kazakhstan	AS	2717300	15185844	1.18E+11	7800	Astana	51.1667	71.5	N 51 deg 10	E 71 deg 30	99	100	98	91	98	82	57.8	68.9	13	12	13				8.8	7.2	10.4	26	23	66	2	31	17	34	0.2	0.1	63	58	1	0	33	40	1	1	5.6
Kenya	AF	582650	33829590	34680000000	1100	Nairobi	-1.2833	36.8167	S 1 deg 17	E 36 deg 49	87	96	82	57	88	42	47.9	46.2	9	9	8							26	22	39	5	97	1200	65	20.2	19.3									58.1
Kiribati	AU	811	103092	79000000	800	Bairiki	1.3167	172.9667	N 1 deg 19	E 172 deg 58	48	54	44	48	82	25	58.2	67.3												37															127.1
"Korea,_North"	AS	120540	22912177	40000000000	1700	Pyongyang__	39.0167	125.75	N 39 deg 01	E 125 deg 45	99	99	100	100	100	100	60.1	66.1	16	16	15																								190.1
"Korea,_South"	AS	98480	48640671	9.25E+11	19200	Seoul	37.5833	127	N 37 deg 35	E 127 deg 0	63	76	4	92	97	71	73.2	80.5				1.1	1.2	0.9	3.4	3.6	3.1	29	26	81	1.2	3	8	11			65	66					1	17	493.9
Kuwait	ME	17820	2335648	48000000000	21300	Kuwait	29.3333	47.9833	N 29 deg 20	E 47 deg 59							75.1	79.4	14	13	14	1.7			1.1	1	1.7	28	25	50	2.4	25			7.8	6.1									131.1
Kyrgyzstan	AS	198500	5146281	8495000000	1700	Bishkek	42.9	74.6	N 42 deg 54	E 74 deg 36	100	100	100	77	98	66	62.6	71.1	13	12	13				12.5	11.2	14.3	25	22	60	2.7	34	4		0.3	0.3	42	44	2	1	46	35	7	16	25.9
Laos	AS	236800	6217141	11280000000	1900	Vientiane	17.9667	102.6	N 17 deg 58	E 102 deg 36	30	67	19	37	61	29	53.3	55.8	9	10	8								21	32	4.8	91	2		17.4	25.3									26.3
